ResourceType,ResourceID,Name,Region,ARN,State,AdditionalAttributes
"IAM User","admin","admin","global","arn:aws:iam::791382210557:user/admin","active","Created=2019-10-17T18:23:01+00:00,Path=/,Groups=0,AttachedPolicies=AdministratorAccess,IAMUserChangePassword"
"IAM User","muite","muite","global","arn:aws:iam::791382210557:user/muite","active","Created=2023-03-13T21:14:20+00:00,Path=/,Groups=0,AttachedPolicies="
"IAM User","Terraform1","Terraform1","global","arn:aws:iam::791382210557:user/Terraform1","active","Created=2025-04-11T12:54:44+00:00,Path=/,Groups=0,AttachedPolicies=AdministratorAccess"
"IAM User","wingutec-user","wingutec-user","global","arn:aws:iam::791382210557:user/wingutec-user","active","Created=2026-04-25T20:42:25+00:00,Path=/,Groups=0,AttachedPolicies="
"IAM User","wingutecweb","wingutecweb","global","arn:aws:iam::791382210557:user/wingutecweb","active","Created=2026-04-25T17:41:47+00:00,Path=/,Groups=0,AttachedPolicies="
"S3 Bucket","cf-templates-194oi5gopobgf-eu-west-1","cf-templates-194oi5gopobgf-eu-west-1","eu-west-1","arn:aws:s3:::cf-templates-194oi5gopobgf-eu-west-1","active","Created=2026-01-12T10:23:03+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","cf-templates-1gojhcbg0d146-us-east-1","cf-templates-1gojhcbg0d146-us-east-1","us-east-1","arn:aws:s3:::cf-templates-1gojhcbg0d146-us-east-1","active","Created=2026-02-06T18:28:19+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","cf-templates-1gojhcbg0d146-us-east-2","cf-templates-1gojhcbg0d146-us-east-2","us-east-2","arn:aws:s3:::cf-templates-1gojhcbg0d146-us-east-2","active","Created=2024-11-04T21:01:28+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","cf-templates-dcsuine5qkrq0-us-east-1","cf-templates-dcsuine5qkrq0-us-east-1","us-east-1","arn:aws:s3:::cf-templates-dcsuine5qkrq0-us-east-1","active","Created=2026-02-06T18:30:05+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","cloudfront-06062024-muite","cloudfront-06062024-muite","us-east-1","arn:aws:s3:::cloudfront-06062024-muite","active","Created=2024-06-06T21:47:27+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","codepipeline-us-east-1-a15c123f9011-4ecc-9533-b260df03f347","codepipeline-us-east-1-a15c123f9011-4ecc-9533-b260df03f347","us-east-1","arn:aws:s3:::codepipeline-us-east-1-a15c123f9011-4ecc-9533-b260df03f347","active","Created=2025-04-01T02:21:20+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","config-bucket-791382210557","config-bucket-791382210557","us-east-1","arn:aws:s3:::config-bucket-791382210557","active","Created=2019-10-18T08:28:14+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","elasticbeanstalk-ap-southeast-2-791382210557","elasticbeanstalk-ap-southeast-2-791382210557","ap-southeast-2","arn:aws:s3:::elasticbeanstalk-ap-southeast-2-791382210557","active","Created=2019-10-20T18:05:51+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","elasticbeanstalk-us-east-1-791382210557","elasticbeanstalk-us-east-1-791382210557","us-east-1","arn:aws:s3:::elasticbeanstalk-us-east-1-791382210557","active","Created=2019-10-20T20:17:56+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","gateway-endpoint","gateway-endpoint","us-east-1","arn:aws:s3:::gateway-endpoint","active","Created=2023-06-16T17:20:44+00:00,Versioning=Enabled,Encryption=AES256,LifecycleRules=1"
"S3 Bucket","nmuiteafrica","nmuiteafrica","af-south-1","arn:aws:s3:::nmuiteafrica","active","Created=2023-05-22T22:08:44+00:00,Versioning=Enabled,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","nmuitebilling","nmuitebilling","us-east-1","arn:aws:s3:::nmuitebilling","active","Created=2023-04-06T08:30:39+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","nmuitesaa","nmuitesaa","af-south-1","arn:aws:s3:::nmuitesaa","active","Created=2021-03-25T01:03:33+00:00,Versioning=Enabled,Encryption=AES256,LifecycleRules=1"
"S3 Bucket","terraform-bucket-c40daa3956dc60f41398","terraform-bucket-c40daa3956dc60f41398","eu-west-1","arn:aws:s3:::terraform-bucket-c40daa3956dc60f41398","active","Created=2025-10-14T22:23:12+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","terraform-bucket-c40daa3956dc60f41398-private","terraform-bucket-c40daa3956dc60f41398-private","eu-west-1","arn:aws:s3:::terraform-bucket-c40daa3956dc60f41398-private","active","Created=2025-10-15T09:04:02+00:00,Versioning=Enabled,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","terraform2-3375436aa2f669f4","terraform2-3375436aa2f669f4","eu-west-1","arn:aws:s3:::terraform2-3375436aa2f669f4","active","Created=2025-10-17T14:11:57+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","test-vpc-s3-muite","test-vpc-s3-muite","us-east-1","arn:aws:s3:::test-vpc-s3-muite","active","Created=2025-07-29T21:58:25+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","vpc-flow-logs--muite","vpc-flow-logs--muite","us-east-1","arn:aws:s3:::vpc-flow-logs--muite","active","Created=2025-03-07T16:27:17+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","website-bucket-ngm","website-bucket-ngm","us-east-1","arn:aws:s3:::website-bucket-ngm","active","Created=2025-03-08T13:15:36+00:00,Versioning=Enabled,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","wingutec.co.za","wingutec.co.za","eu-west-1","arn:aws:s3:::wingutec.co.za","active","Created=2026-04-25T17:26:57+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"S3 Bucket","wingutec.com","wingutec.com","eu-west-1","arn:aws:s3:::wingutec.com","active","Created=2026-04-26T10:03:21+00:00,Versioning=,Encryption=AES256,LifecycleRules=0"
"Route53 Zone","Z0223148Y0QMU9EC4HN0","sub.wingutec.com.","global","arn:aws:route53:::hostedzone/Z0223148Y0QMU9EC4HN0","active","Private=false,RecordCount=2"
"Route53 Zone","Z03057922XS7XY6ERI7UU","wingutec.com.","global","arn:aws:route53:::hostedzone/Z03057922XS7XY6ERI7UU","active","Private=false,RecordCount=5"
"Route53 Zone","Z054543211R8052HVFLDP","wingutec.com.","global","arn:aws:route53:::hostedzone/Z054543211R8052HVFLDP","active","Private=true,RecordCount=2"
"ACM Certificate","arn:aws:acm:us-east-1:791382210557:certificate/357512de-490a-4400-8a32-ac5101a1f02f","muite.et-lab.be","us-east-1","arn:aws:acm:us-east-1:791382210557:certificate/357512de-490a-4400-8a32-ac5101a1f02f","EXPIRED","Validation=DNS,SANs=muite.et-lab.be,KeyAlgo=RSA-2048,Renewal=INELIGIBLE"
"CloudFront","E2ISHGZRXZJ9OL","dtqgyxobku7q9.cloudfront.net","global","arn:aws:cloudfront::791382210557:distribution/E2ISHGZRXZJ9OL","Deployed","Domain=dtqgyxobku7q9.cloudfront.net,Origins=website-bucket-ngm.s3-website-us-east-1.amazonaws.com,website-bucket-ngm.s3.us-east-1.amazonaws.com,PriceClass=PriceClass_200,Enabled=true"
"VPC","vpc-01cf29f8c4f8b83ab","Transit-VPC-vpc","us-east-2","arn:aws:ec2:us-east-2:791382210557:vpc/vpc-01cf29f8c4f8b83ab","available","CIDR=10.200.0.0/16,Default=false,Tenancy=default,ExtraCIDRs=10.200.0.0/16"
"VPC","vpc-09913aa02362a04b4","App-VPC-vpc","us-east-2","arn:aws:ec2:us-east-2:791382210557:vpc/vpc-09913aa02362a04b4","available","CIDR=10.100.0.0/16,Default=false,Tenancy=default,ExtraCIDRs=10.100.0.0/16"
"VPC","vpc-08908d5dc7fed56f3","","us-east-2","arn:aws:ec2:us-east-2:791382210557:vpc/vpc-08908d5dc7fed56f3","available","CIDR=10.10.0.0/16,Default=false,Tenancy=default,ExtraCIDRs=10.10.0.0/16"
"Subnet","subnet-048a42530699d855c","App-VPC-subnet-private2-us-east-2b","us-east-2","arn:aws:ec2:us-east-2:791382210557:subnet/subnet-048a42530699d855c","available","CIDR=10.100.144.0/20,VPC=vpc-09913aa02362a04b4,AZ=us-east-2b,PublicIP=false,IPv6="
"Subnet","subnet-09c39916d10189af9","App-VPC-subnet-public2-us-east-2b","us-east-2","arn:aws:ec2:us-east-2:791382210557:subnet/subnet-09c39916d10189af9","available","CIDR=10.100.16.0/20,VPC=vpc-09913aa02362a04b4,AZ=us-east-2b,PublicIP=false,IPv6="
"Subnet","subnet-05472b345c70c4153","Transit-VPC-subnet-private2-us-east-2b","us-east-2","arn:aws:ec2:us-east-2:791382210557:subnet/subnet-05472b345c70c4153","available","CIDR=10.200.144.0/20,VPC=vpc-01cf29f8c4f8b83ab,AZ=us-east-2b,PublicIP=false,IPv6="
"Subnet","subnet-08369fa63b5a20160","Transit-VPC-subnet-public1-us-east-2a","us-east-2","arn:aws:ec2:us-east-2:791382210557:subnet/subnet-08369fa63b5a20160","available","CIDR=10.200.0.0/20,VPC=vpc-01cf29f8c4f8b83ab,AZ=us-east-2a,PublicIP=false,IPv6="
"Subnet","subnet-0e3d6bd981181a5f2","Transit-VPC-subnet-private1-us-east-2a","us-east-2","arn:aws:ec2:us-east-2:791382210557:subnet/subnet-0e3d6bd981181a5f2","available","CIDR=10.200.128.0/20,VPC=vpc-01cf29f8c4f8b83ab,AZ=us-east-2a,PublicIP=false,IPv6="
"Subnet","subnet-02c431784659f64a2","App-VPC-subnet-public1-us-east-2a","us-east-2","arn:aws:ec2:us-east-2:791382210557:subnet/subnet-02c431784659f64a2","available","CIDR=10.100.0.0/20,VPC=vpc-09913aa02362a04b4,AZ=us-east-2a,PublicIP=false,IPv6="
"Subnet","subnet-0e1a07aece9b594f8","App-VPC-subnet-private1-us-east-2a","us-east-2","arn:aws:ec2:us-east-2:791382210557:subnet/subnet-0e1a07aece9b594f8","available","CIDR=10.100.128.0/20,VPC=vpc-09913aa02362a04b4,AZ=us-east-2a,PublicIP=false,IPv6="
"Subnet","subnet-06457a1f8cc2b5601","Transit-VPC-subnet-public2-us-east-2b","us-east-2","arn:aws:ec2:us-east-2:791382210557:subnet/subnet-06457a1f8cc2b5601","available","CIDR=10.200.16.0/20,VPC=vpc-01cf29f8c4f8b83ab,AZ=us-east-2b,PublicIP=false,IPv6="
"Security Group","sg-04ecb12526eb0eb1f","default","us-east-2","arn:aws:ec2:us-east-2:791382210557:security-group/sg-04ecb12526eb0eb1f","active","VPC=vpc-08908d5dc7fed56f3,IngressRules=1,EgressRules=1,Description=default VPC security group"
"Security Group","sg-0f3317ec1b460affe","default","us-east-2","arn:aws:ec2:us-east-2:791382210557:security-group/sg-0f3317ec1b460affe","active","VPC=vpc-09913aa02362a04b4,IngressRules=1,EgressRules=1,Description=default VPC security group"
"Security Group","sg-061c2cb3809b6aa92","default","us-east-2","arn:aws:ec2:us-east-2:791382210557:security-group/sg-061c2cb3809b6aa92","active","VPC=vpc-01cf29f8c4f8b83ab,IngressRules=1,EgressRules=1,Description=default VPC security group"
"Internet Gateway","igw-06acede568817075c","Transit-VPC-igw","us-east-2","arn:aws:ec2:us-east-2:791382210557:internet-gateway/igw-06acede568817075c","available","VPC=vpc-01cf29f8c4f8b83ab"
"Internet Gateway","igw-09a60ef207386dc02","App-VPC-igw","us-east-2","arn:aws:ec2:us-east-2:791382210557:internet-gateway/igw-09a60ef207386dc02","available","VPC=vpc-09913aa02362a04b4"
"Route Table","rtb-0ef74a69803dcffcb","App-VPC-rtb-private2-us-east-2b","us-east-2","arn:aws:ec2:us-east-2:791382210557:route-table/rtb-0ef74a69803dcffcb","active","VPC=vpc-09913aa02362a04b4,Main=false,Routes=2,Associations=1"
"Route Table","rtb-03a6274c2e4009d04","Transit-VPC-rtb-public","us-east-2","arn:aws:ec2:us-east-2:791382210557:route-table/rtb-03a6274c2e4009d04","active","VPC=vpc-01cf29f8c4f8b83ab,Main=false,Routes=2,Associations=2"
"Route Table","rtb-095a457d0a9b1f9e9","Transit-VPC-rtb-private1-us-east-2a","us-east-2","arn:aws:ec2:us-east-2:791382210557:route-table/rtb-095a457d0a9b1f9e9","active","VPC=vpc-01cf29f8c4f8b83ab,Main=false,Routes=1,Associations=1"
"Route Table","rtb-03e8bdebcb3b0eac4","","us-east-2","arn:aws:ec2:us-east-2:791382210557:route-table/rtb-03e8bdebcb3b0eac4","active","VPC=vpc-09913aa02362a04b4,Main=true,Routes=1,Associations=1"
"Route Table","rtb-08bf47714cab9d533","","us-east-2","arn:aws:ec2:us-east-2:791382210557:route-table/rtb-08bf47714cab9d533","active","VPC=vpc-01cf29f8c4f8b83ab,Main=true,Routes=1,Associations=1"
"Route Table","rtb-04c9ff5223f9b0ebc","App-VPC-rtb-private1-us-east-2a","us-east-2","arn:aws:ec2:us-east-2:791382210557:route-table/rtb-04c9ff5223f9b0ebc","active","VPC=vpc-09913aa02362a04b4,Main=false,Routes=2,Associations=1"
