Resource Type,Attributes Detected
Resource Group,"Name, Location, Provisioning state, Azure resource ID, Managed by, Tags"
Entra ID User,"Object ID, UPN, Display name, Given name, Surname, Mail, Account enabled, User type"
Entra ID Service Principal,"Object ID, Display name, Type, App ID, Account enabled, Sign-in audience, Homepage URL"
Role Assignment,"Assignment ID, Role definition name & ID, Principal ID & name, Principal type, Scope, Condition"
DNS Zone,"Name, Resource ID, Resource group, Record set count, Name servers, Zone type (public/private), Tags"
CDN Profile,"Name, Resource ID, Resource group, SKU, Resource state, Origin group count, Tags"
Key Vault,"Name, Resource ID, Resource group, Location, SKU (standard/premium), Soft delete enabled, Soft delete retention days, Purge protection, RBAC authorization, Public network access, Network ACL default action, Tags"
Storage Account,"Name, Resource ID, Resource group, Location, Kind, SKU, Access tier, HTTPS only, HNS (Data Lake Gen2), Min TLS version, Public blob access, Shared key access, Network rule default action, Large file shares, Blob versioning, Tags"
Virtual Network,"Name, Resource ID, Location, Provisioning state, Address prefixes, DNS servers, DDoS protection plan & enabled, VM protection, Peering count, Tags"
Subnet,"Name, Resource ID, VNet name, Address prefix(es), NSG ID, Route table ID, Delegations, Private endpoint policies, Private link policies, Service endpoints"
Network Security Group,"Name, Resource ID, Location, Provisioning state, Custom rule count, Default rule count; per-rule: name/priority/direction/access/protocol/source-dest port ranges/source-dest address prefixes, Tags"
Public IP Address,"Name, Resource ID, Location, IP address, SKU & tier, Allocation method, IP version, Idle timeout, DNS label, Availability zones, Tags"
Route Table,"Name, Resource ID, Location, Provisioning state, BGP route propagation disabled, Route count; per-route: name/address prefix/next hop type/next hop IP, Tags"
Network Interface,"Name, Resource ID, Location, Provisioning state, Accelerated networking, IP forwarding, DNS servers, NSG ID, Attached VM ID, Primary private IP, Subnet ID, IP allocation method, Tags"
Virtual Machine,"Name, Resource ID, Location, VM size, OS type, Provisioning state, Availability zones, OS disk (name/type/size/caching), Image reference (publisher/offer/SKU/version), NIC IDs, Identity type & IDs, Boot diagnostics, Admin username, Password auth disabled, Tags"
Managed Disk,"Name, Resource ID, Location, Size (GB), SKU, Provisioning state, Disk state, OS type, Zones, IOPS, MBps, Create option, Source resource ID, Encryption type, Disk encryption set ID, Max shares, Tags"
Load Balancer,"Name, Resource ID, Location, SKU & tier, Provisioning state, Frontend count, Backend pool count, Probe count, LB rule count, Zones, Frontend config (name/public IP/subnet/private IP/allocation), Tags"
Application Gateway,"Name, Resource ID, Location, SKU name & tier, Capacity, Provisioning state, WAF enabled & mode, Autoscale min/max, Frontend/backend count, Availability zones, Tags"
SQL Server,"Name, Resource ID, Location, FQDN, State, Version, Admin login, Min TLS version, Public network access, Connection policy, Identity type, Tags"
SQL Database,"Name, Resource ID, Location, Server name, SKU, Tier, Max size (GB), Zone redundant, Collation, License type, Read scale, Backup storage redundancy, Elastic pool ID, Tags"
Cosmos DB Account,"Name, Resource ID, Location, Kind, Provisioning state, Consistency level, Max staleness prefix & interval, Geo-replication locations, Free tier, Auto failover, Multi-region writes, Analytical storage, Public network access, IP rules, Tags"
Redis Cache,"Name, Resource ID, Location, SKU, Family, Capacity, Provisioning state, Hostname, Port, SSL port, Non-SSL port enabled, Min TLS, Shard count, Max memory policy & reserved, Subnet ID, Static IP, Availability zones, Tags"
AKS Cluster,"Name, Resource ID, Location, K8s version, State, DNS prefix, FQDN, Node resource group, RBAC enabled, Private cluster, Network plugin/policy, LB SKU, Service CIDR, DNS service IP, Outbound type, Identity type, Default node pool (name/count/VM size/OS disk size & type/subnet/autoscale min & max/zones), OMS agent workspace, HTTP routing enabled, Tags"
Container Registry (ACR),"Name, Resource ID, Location, SKU, Login server, Provisioning state, Admin user enabled, Public network access, Geo-replication locations, Data endpoints, Zone redundancy, Retention policy (days/enabled), Trust policy, Identity type, Tags"
Container Instance (ACI),"Name, Resource ID, Location, Provisioning state, OS type, IP type & address, Restart policy, SKU, Subnet IDs, DNS name label, Identity type, Container[0] (name/image/CPU/memory/ports), Total container count, Tags"
App Service Plan,"Name, Resource ID, Location, SKU, Tier, Capacity, Kind, Provisioning state, Per-site scaling, Zone balancing, Max elastic workers, OS type, Tags"
App Service / Web App,"Name, Resource ID, Location, Kind, State, Default hostname, Service plan ID, HTTPS only, Client cert enabled, Client affinity, Public network access, Identity type, Site config (Linux/Windows FX version/PHP/Node/Python/.NET version/always on/HTTP2/min TLS/FTPS state/WebSockets/health check path), Tags"
Function App,"Name, Resource ID, Location, State, Kind, Service plan ID, HTTPS only, Identity type, Site config (Linux FX version/always on/min TLS/FTPS state), App settings keys (values excluded), Tags"
Service Bus Namespace,"Name, Resource ID, Location, SKU & tier, Capacity (Premium), Provisioning state, Zone redundant, Public network access, Min TLS, Identity type, Service bus endpoint, Queue count, Topic count, Tags"
Event Hub Namespace,"Name, Resource ID, Location, SKU, Capacity, Provisioning state, Auto-inflate enabled, Max throughput units, Zone redundant, Kafka enabled, Public network access, Identity type, Event hub count, Tags"
Log Analytics Workspace,"Name, Resource ID, Location, SKU, Provisioning state, Retention days, Daily quota (GB), Public ingestion access, Public query access, Customer ID, Tags"
API Management Service,"Name, Resource ID, Location, SKU & capacity, Provisioning state, Publisher name & email, Gateway URL, Developer portal URL, Management API URL, VNet type, Subnet ID, Public network access, Availability zones, Identity type, Min API version, Tags"
